comment_id,text,author,timestamp,likes,video_id,cleaned_text,cleaned_text_no_stopwords,sentiment_label,confidence_score,textblob_sentiment,textblob_polarity,textblob_subjectivity,vader_sentiment,vader_compound,vader_pos,vader_neu,vader_neg
comment_-3112990584277945118,"Note - Don’t create test PRs or issues on official repositories of projects as it is unprofessional. Try to test all the things in your own repo.

Ek aur Complete Tutorial   &
on this channel (Apna College YouTube) we have also taught tutorials of  :

- Complete SQL Course
- C Language Course
- Java DSA Course
- C++ DSA Course
- Python Tutorial
- Java Tutorial
- HTML & CSS in One Shot
- ReactJS
- Object Orientation with Java

Tabtak ke liye keep learning & keep coding!",,Unknown time,0,Ez8F0nW6S-w,note  dont create test prs or issues on official repositories of projects as it is unprofessional. try to test all the things in your own repo. ek aur complete tutorial  on this channel apna college youtube we have also taught tutorials of :  complete sql course  c language course  java dsa course  c dsa course  python tutorial  java tutorial  html  css in one shot  reactjs  object orientation with java tabtak ke liye keep learning  keep coding!,note dont create test prs issues official repositories projects unprofessional . try test things repo . ek aur complete tutorial channel apna college youtube also taught tutorials : complete sql course c language course java dsa course c dsa course python tutorial java tutorial html css one shot reactjs object orientation java tabtak ke liye keep learning keep coding !,Negative,0.46227999999999997,Positive,0.27499999999999997,0.6,Negative,-0.6604,0.0,0.932,0.068
comment_-8399106544026957532,Thank you Shradha didi and Apna college for this amazing tutorial of git and  GitHub. One of the best video on tutorial of git & GitHub in YouTube for beginners.,@ankitgupta1552,Unknown time,84,Ez8F0nW6S-w,thank you shradha didi and apna college for this amazing tutorial of git and github. one of the best video on tutorial of git  github in youtube for beginners.,thank shradha didi apna college amazing tutorial git github . one best video tutorial git github youtube beginners .,Positive,0.8521000000000001,Positive,0.8,0.6,Positive,0.9042,0.301,0.699,0.0
comment_7302959101101985569,"I just wanted to take a moment to thank you from the bottom of my heart for your incredible video on Git and GitHub. As a BTech IT student, I struggled to understand these concepts throughout my 4-year journey, but your explanation was so clear and well-structured that all my doubts were finally resolved. You have no idea how much this means to me! Your effort and dedication to creating such helpful content are truly appreciated. Thank you for making such a positive impact on my learning journey. Keep up the amazing work!",@JainilShah-2113,Unknown time,38,Ez8F0nW6S-w,"i just wanted to take a moment to thank you from the bottom of my heart for your incredible video on git and github. as a btech it student, i struggled to understand these concepts throughout my 4year journey, but your explanation was so clear and wellstructured that all my doubts were finally resolved. you have no idea how much this means to me! your effort and dedication to creating such helpful content are truly appreciated. thank you for making such a positive impact on my learning journey. keep up the amazing work!","wanted take moment thank bottom heart incredible video git github . btech student , struggled understand concepts throughout 4year journey , but explanation clear wellstructured doubts finally resolved . no idea much means ! effort dedication creating helpful content truly appreciated . thank making positive impact learning journey . keep amazing work !",Positive,0.6286484848484849,Positive,0.2696969696969697,0.5587542087542088,Positive,0.9876,0.315,0.627,0.058
comment_-7143959061663339914,"The best explanation anyone can find for Git and Github.. Thank You Ma'am...
Anyone watching this in Sept, 2024?",@TANMAYGOEL-q3y,Unknown time,315,Ez8F0nW6S-w,"the best explanation anyone can find for git and github.. thank you maam... anyone watching this in sept, 2024?","best explanation anyone find git github .. thank maam ... anyone watching sept , 2024 ?",Positive,0.88585,Positive,1.0,0.3,Positive,0.7717,0.283,0.717,0.0
comment_-3229154482517416341,I was roaming for Git here and there but finally I got it all. Thanks Apna College.,@quickSilverXMen,Unknown time,85,Ez8F0nW6S-w,i was roaming for git here and there but finally i got it all. thanks apna college.,roaming git but finally got . thanks apna college .,Positive,0.41489,Neutral,0.1,0.6,Positive,0.5927,0.194,0.806,0.0
comment_-6868270301289273855,"For those are facing the problem command (ls -a).Open the Terminal dropdown (next to the + icon) and select Select Default Profile. This will open a list of available shells, including Git Bash. Selecting Git Bash will set it as your default shell, and all future terminals will be opened with Git Bash.",@ayzeeawan5033,Unknown time,247,Ez8F0nW6S-w,"for those are facing the problem command ls a.open the terminal dropdown next to the  icon and select select default profile. this will open a list of available shells, including git bash. selecting git bash will set it as your default shell, and all future terminals will be opened with git bash.","facing problem command ls a.open terminal dropdown next icon select select default profile . open list available shells , including git bash . selecting git bash set default shell , future terminals opened git bash .",Negative,0.28132999999999997,Neutral,0.1,0.25625,Negative,-0.4019,0.0,0.95,0.05
comment_-8127283934745384770,"Completed this again on 17th June 2025. I learned it from you a year ago, but I forgot many things because I didn't use GitHub often.
Great content!
Thanks a lot, from Nepal!",@technicalaasheek,Unknown time,15,Ez8F0nW6S-w,"completed this again on 17th june 2025. i learned it from you a year ago, but i forgot many things because i didnt use github often. great content! thanks a lot, from nepal!","completed 17th june 2025. learned year ago , but forgot many things didnt use github often . great content ! thanks lot , nepal !",Positive,0.7425666666666667,Positive,0.5833333333333334,0.48333333333333334,Positive,0.9018,0.245,0.755,0.0
comment_-6812112614760854431,This is one of the best videos for the GIT and GITHUB i came across on the internet . & the best part is that its to the point .,@RavinderSingh-f1b,Unknown time,10,Ez8F0nW6S-w,this is one of the best videos for the git and github i came across on the internet .  the best part is that its to the point .,one best videos git github came across internet . best part point .,Positive,0.9277500000000001,Positive,1.0,0.3,Positive,0.8555,0.237,0.763,0.0
comment_5252388418382182881,"don""t use (ls -a) cause it is for mac user, use (ls -h) if you are using windows..!!",@harsh197,Unknown time,223,Ez8F0nW6S-w,"dont use ls a cause it is for mac user, use ls h if you are using windows..!!","dont use ls cause mac user , use ls h using windows .. ! !",Neutral,0.0,Neutral,0.0,0.0,Neutral,0.0,0.0,1.0,0.0
comment_-6830012508403646839,"Gajab padhate ho ... ma'am
Video dekhne ke baad toh confidence aa jaata hai really..",@anujyadav9833,Unknown time,5,Ez8F0nW6S-w,gajab padhate ho ... maam video dekhne ke baad toh confidence aa jaata hai really..,gajab padhate ho ... maam video dekhne ke baad toh confidence aa jaata hai really ..,Positive,0.35530000000000006,Positive,0.2,0.2,Positive,0.5106,0.191,0.809,0.0
comment_1273979262446919798,"For those who face problem with ""ls -a"" command.
To fix this, just change your terminal from powershell to git bash in Vs code.",@aenkkim,Unknown time,0,Ez8F0nW6S-w,"for those who face problem with ls a command. to fix this, just change your terminal from powershell to git bash in vs code.","face problem ls command . fix , change terminal powershell git bash vs code .",Negative,0.28132999999999997,Neutral,0.0,0.0,Negative,-0.4019,0.0,0.895,0.105
comment_-7929558930814734001,"Hatssoff to our sharddha didi. for teaching the whole git github in one tutorial.
i am not able to understand the git as scartch but now can learn it fully,.....",@Vishalllllllllllll,Unknown time,25,Ez8F0nW6S-w,"hatssoff to our sharddha didi. for teaching the whole git github in one tutorial. i am not able to understand the git as scartch but now can learn it fully,.....","hatssoff sharddha didi . teaching whole git github one tutorial . not able understand git scartch but learn fully , .....",Neutral,0.012499999999999997,Neutral,-0.024999999999999994,0.5125,Neutral,0.0,0.0,1.0,0.0
comment_-5455494169938226825,"I Complete the whole lecture in one day on 17 june 2025 
and this 1 hr 15 min lecture took me total 3 hours to complete with writing notes 
it was so hectic but feeling happy to complete it hurry!!!!!",@shrutimeshra1225,Unknown time,11,Ez8F0nW6S-w,i complete the whole lecture in one day on 17 june 2025 and this 1 hr 15 min lecture took me total 3 hours to complete with writing notes it was so hectic but feeling happy to complete it hurry!!!!!,complete whole lecture one day 17 june 2025 1 hr 15 min lecture took total 3 hours complete writing notes hectic but feeling happy complete hurry ! ! ! ! !,Positive,0.5525313151041666,Positive,0.2508626302083334,0.5583333333333333,Positive,0.8542,0.18,0.82,0.0
comment_-1545101313246874887,"0:00 Introduction
1:07 Git Introduction
5:00 GitHub Introduction
7:25 Setting Up GitHub
 Setting Up Git
 Configuring Git
 Working with VS Code
 Clone and Status
 Add and Commit
 Push Command
 Init Command
 Work Flow
 Git Branches
 Branch Commands
 Merging Code
 Pull Request
 Pull Command
 Resolving Merge Conflicts
 Undoing Changes
 Fork
Wish you guys the Best of Luck!",@mayursrivastav9077,Unknown time,0,Ez8F0nW6S-w,0:00 introduction 1:07 git introduction 5:00 github introduction 7:25 setting up github setting up git configuring git working with vs code clone and status add and commit push command init command work flow git branches branch commands merging code pull request pull command resolving merge conflicts undoing changes fork wish you guys the best of luck!,0:00 introduction 1:07 git introduction 5:00 github introduction 7:25 setting github setting git configuring git working vs code clone status add commit push command init command work flow git branches branch commands merging code pull request pull command resolving merge conflicts undoing changes fork wish guys best luck !,Positive,0.954,Positive,1.0,0.3,Positive,0.908,0.222,0.74,0.038
comment_-7638794892135956452,"many many thanks for this video
i had a problem almost 3 days not fixed my problem
but right now all problem solve its a very easily solve u",@munnaKhan-ro8sg,Unknown time,17,Ez8F0nW6S-w,many many thanks for this video i had a problem almost 3 days not fixed my problem but right now all problem solve its a very easily solve u,many many thanks video problem almost 3 days not fixed problem but right problem solve easily solve u,Positive,0.5037373015873016,Positive,0.3331746031746032,0.48928571428571427,Positive,0.6743,0.303,0.559,0.137
comment_-1125226030057996938,"Thank you so much ma'am . I was so confused regarding git and felt like i could never understand it ut thanks to you , I finally did and i could not believe it.  Hands down, the best coding channel.",@asnakhan7215,Unknown time,3,Ez8F0nW6S-w,"thank you so much maam . i was so confused regarding git and felt like i could never understand it ut thanks to you , i finally did and i could not believe it. hands down, the best coding channel.","thank much maam . confused regarding git felt like could never understand ut thanks , finally could not believe . hands , best coding channel .",Positive,0.49267037037037037,Positive,0.14074074074074075,0.448148148148148,Positive,0.8446,0.242,0.699,0.06
comment_5391916571451912612,"This has become a source of spam PRs in the express js repo.

Please stop making PRs on real projects. You can practise by creating, forking, pushing to YOUR OWN repo.

I think apna college should take responsibility and take this video down (or trim the github demo). Help the maintainers of express js in reducing the spam PRs.",@tusharsnx,Unknown time,0,Ez8F0nW6S-w,"this has become a source of spam prs in the express js repo. please stop making prs on real projects. you can practise by creating, forking, pushing to your own repo. i think apna college should take responsibility and take this video down or trim the github demo. help the maintainers of express js in reducing the spam prs.","become source spam prs express js repo . please stop making prs real projects . practise creating , forking , pushing repo . think apna college take responsibility take video trim github demo . help maintainers express js reducing spam prs .",Positive,0.15037037037037038,Positive,0.21481481481481482,0.5296296296296297,Neutral,0.0,0.107,0.786,0.107
comment_8995664931719424401,Becoz of this type of video genuine Indian contributors are also labelled as spammers..,@sirargupta,Unknown time,512,Ez8F0nW6S-w,becoz of this type of video genuine indian contributors are also labelled as spammers..,becoz type video genuine indian contributors also labelled spammers ..,Positive,0.27999999999999997,Positive,0.4,0.5,Negative,-0.3818,0.0,0.833,0.167
comment_2020469590890868395,Didi hame aapka video dekhte dekhte bahut neend aati hai relaxing voice hai aapki,@IshikaSingh-bj3hn,Unknown time,6,Ez8F0nW6S-w,didi hame aapka video dekhte dekhte bahut neend aati hai relaxing voice hai aapki,didi hame aapka video dekhte dekhte bahut neend aati hai relaxing voice hai aapki,Positive,0.34573,Neutral,0.0,0.0,Positive,0.4939,0.198,0.802,0.0
comment_6794685703559631292,Can you show a banner to not spam ExpressJS?,@ashishjha9262,Unknown time,0,Ez8F0nW6S-w,can you show a banner to not spam expressjs?,show banner not spam expressjs ?,Positive,0.19285,Neutral,0.0,0.0,Positive,0.2755,0.209,0.791,0.0
comment_-2897427153998453223,Guys while i have parllely tried to do the same i have encountered few errors just used gpt it made me understand the problems more proficiently.Mam that's a another excellent work of yours.,@vamsikrishna-j9n,Unknown time,27,Ez8F0nW6S-w,guys while i have parllely tried to do the same i have encountered few errors just used gpt it made me understand the problems more proficiently.mam thats a another excellent work of yours.,guys parllely tried encountered errors used gpt made understand problems proficiently.mam thats another excellent work .,Positive,0.22749999999999998,Positive,0.325,0.43125,Negative,-0.1027,0.095,0.773,0.131
comment_7232291560813510885,Great work Sharda Ma'm (aka Didi). There would be many teaching Git on YT but the way you taught is an excellent effort. I'm from Pakistan but I must say Zindabad Sharda Didi from India. Well done!,@MeetGrowthArbor,Unknown time,3,Ez8F0nW6S-w,great work sharda mam aka didi. there would be many teaching git on yt but the way you taught is an excellent effort. im from pakistan but i must say zindabad sharda didi from india. well done!,great work sharda mam aka didi . would many teaching git yt but way taught excellent effort . im pakistan but must say zindabad sharda didi india . well done !,Positive,0.8281333333333333,Positive,0.7666666666666666,0.75,Positive,0.8896,0.237,0.763,0.0
comment_5342334558264997848,OMG commit and add krte krte puri zindagi nikal jayegi.,@Adityasm27,Unknown time,30,Ez8F0nW6S-w,omg commit and add krte krte puri zindagi nikal jayegi.,omg commit add krte krte puri zindagi nikal jayegi .,Positive,0.20719999999999997,Neutral,0.0,0.0,Positive,0.296,0.196,0.804,0.0
comment_6917425179957171767,"wonderful video, the things that i couldn't learn from paid a course, got fully understood in it.",@shushantsingh7022,Unknown time,1,Ez8F0nW6S-w,"wonderful video, the things that i couldnt learn from paid a course, got fully understood in it.","wonderful video , things couldnt learn paid course , got fully understood .",Positive,0.7859499999999999,Positive,1.0,1.0,Positive,0.5719,0.188,0.812,0.0
comment_132253034497168283,Great Miss. You have done amazing job. I have take your full lecture. very helpful.,@anjumzahid789,Unknown time,6,Ez8F0nW6S-w,great miss. you have done amazing job. i have take your full lecture. very helpful.,great miss . done amazing job . take full lecture . helpful .,Positive,0.68665,Positive,0.4875,0.625,Positive,0.8858,0.466,0.466,0.068
comment_-5127773344752074823,Aaj hi mujhe git or git hub padhna tha...or aapka video aa gya .....what a luck,@ShaluTiwari60480,Unknown time,38,Ez8F0nW6S-w,aaj hi mujhe git or git hub padhna tha...or aapka video aa gya .....what a luck,aaj hi mujhe git git hub padhna tha ... aapka video aa gya ..... luck,Positive,0.32115999999999995,Neutral,0.0,0.0,Positive,0.4588,0.167,0.833,0.0
comment_7225475619545509549,"I have a Product manager for last 16 years, always felt I am missing a hands on Github. Thanks Apnacollege team for creating meaningful content. Looking forward to learn more from you guys :) Cheers",@chaturvedirishab,Unknown time,3,Ez8F0nW6S-w,"i have a product manager for last 16 years, always felt i am missing a hands on github. thanks apnacollege team for creating meaningful content. looking forward to learn more from you guys : cheers","product manager last 16 years , always felt missing hands github . thanks apnacollege team creating meaningful content . looking forward learn guys : cheers",Positive,0.5037,Positive,0.2,0.2633333333333333,Positive,0.8074,0.246,0.703,0.052
comment_-3651237937289699851,"0:00 Introduction
1:07 Git Introduction
5:00 GitHub Introduction
7:25 Setting Up GitHub
 Setting Up Git
 Configuring Git
 Working with VS Code
 Clone and Status
 Add and Commit
 Push Command
 Init Command
 Work Flow",@debprosad6890,Unknown time,60,Ez8F0nW6S-w,0:00 introduction 1:07 git introduction 5:00 github introduction 7:25 setting up github setting up git configuring git working with vs code clone and status add and commit push command init command work flow,0:00 introduction 1:07 git introduction 5:00 github introduction 7:25 setting github setting git configuring git working vs code clone status add commit push command init command work flow,Positive,0.20719999999999997,Neutral,0.0,0.0,Positive,0.296,0.064,0.936,0.0
comment_-8095582349032458806,Thank  you for such an incrediable tutorail Shardha  didi,@MDFaiz-il3ub,Unknown time,1,Ez8F0nW6S-w,thank you for such an incrediable tutorail shardha didi,thank incrediable tutorail shardha didi,Positive,0.25284,Neutral,0.0,0.5,Positive,0.3612,0.238,0.762,0.0
comment_-4397099837347861102,dude take this down causing a huge ruckus amng devs,@chaitanya812,Unknown time,293,Ez8F0nW6S-w,dude take this down causing a huge ruckus amng devs,dude take causing huge ruckus amng devs,Positive,0.22021111111111108,Positive,0.1222222222222222,0.5944444444444444,Positive,0.3182,0.204,0.796,0.0
comment_1525426873102898011,"This video is very awesome......I understood everything...I was facing a lot of problems and time learning git/github...but the way you explained, I understood it very easily......thanks for the effort you make teaching hundreds and thousands even much more and explaining it in a simplified manner",@BangtanChic.mp4,Unknown time,21,Ez8F0nW6S-w,"this video is very awesome......i understood everything...i was facing a lot of problems and time learning gitgithub...but the way you explained, i understood it very easily......thanks for the effort you make teaching hundreds and thousands even much more and explaining it in a simplified manner","video awesome ...... understood everything ... facing lot problems time learning gitgithub ... but way explained , understood easily ...... thanks effort make teaching hundreds thousands even much explaining simplified manner",Negative,0.28132999999999997,Positive,0.3,0.3666666666666667,Negative,-0.4019,0.0,0.942,0.058
comment_-7908755824821260642,Amazing video for the beginner. Salute 🫡 to your hard word to create this video,@zeeshansayyed6080,Unknown time,0,Ez8F0nW6S-w,amazing video for the beginner. salute  to your hard word to create this video,amazing video beginner . salute hard word create video,Positive,0.41233333333333333,Positive,0.1541666666666667,0.7208333333333333,Positive,0.6705,0.322,0.601,0.077
comment_6856100606574888361,"Bhaiya 12th pass hone ke baad bhi it sector me inki vajah se aa paya .
Inki avaj sunker hi coding sikhi or aaj mis team lead hu .
With amazing package thanks a lot di",@Reva_Prime,Unknown time,33,Ez8F0nW6S-w,bhaiya 12th pass hone ke baad bhi it sector me inki vajah se aa paya . inki avaj sunker hi coding sikhi or aaj mis team lead hu . with amazing package thanks a lot di,bhaiya 12th pass hone ke baad bhi sector inki vajah se aa paya . inki avaj sunker hi coding sikhi aaj mis team lead hu . amazing package thanks lot di,Positive,0.58585,Positive,0.4,0.55,Positive,0.7717,0.165,0.835,0.0
comment_-7418724028332496650,"Edit out that part, you've already screwed up the repo",@machlangsambruder,Unknown time,96,Ez8F0nW6S-w,"edit out that part, youve already screwed up the repo","edit part , youve already screwed repo",Negative,0.34573,Neutral,0.0,0.0,Negative,-0.4939,0.0,0.738,0.262
comment_8676411812244282994,Excellent presentation and the lecture is outstanding. Just loved it.,@mathict,Unknown time,1,Ez8F0nW6S-w,excellent presentation and the lecture is outstanding. just loved it.,excellent presentation lecture outstanding . loved .,Positive,0.8225666666666667,Positive,0.7333333333333334,0.8916666666666666,Positive,0.9118,0.624,0.376,0.0
comment_8022632941055856090,"Finally, I have completed this video, thank you so much Shraddha ma'm for this. It's one of the best GitHub video , easy to understand. You cleared my all doubts, now I'm feeling confident. so thank so you much ma'm",@romimawandia4817,Unknown time,10,Ez8F0nW6S-w,"finally, i have completed this video, thank you so much shraddha mam for this. its one of the best github video , easy to understand. you cleared my all doubts, now im feeling confident. so thank so you much mam","finally , completed video , thank much shraddha mam . one best github video , easy understand . cleared doubts , im feeling confident . thank much mam",Positive,0.6623944444444444,Positive,0.3888888888888889,0.5611111111111112,Positive,0.9359,0.351,0.607,0.042
comment_-762136664550225159,Apna college is One stop solution for all the problems,@sujathad7077,Unknown time,16,Ez8F0nW6S-w,apna college is one stop solution for all the problems,apna college one stop solution problems,Negative,0.26725999999999994,Neutral,0.0,0.0,Negative,-0.3818,0.162,0.493,0.345
comment_-2782280841418768117,i have never experience my time so profitably spend on watching some youtube video for learning some new concept .Excellent video on git and git hub. I had no idea of git  and github before and after watching it i am feeling like a pro. you are an amazing teacher . please make some videos about automation tools like terraform and ansible.,@Asmamahdi-f8x,Unknown time,0,Ez8F0nW6S-w,i have never experience my time so profitably spend on watching some youtube video for learning some new concept .excellent video on git and git hub. i had no idea of git and github before and after watching it i am feeling like a pro. you are an amazing teacher . please make some videos about automation tools like terraform and ansible.,never experience time profitably spend watching youtube video learning new concept .excellent video git git hub . no idea git github watching feeling like pro . amazing teacher . please make videos automation tools like terraform ansible .,Positive,0.6577909090909091,Positive,0.3681818181818182,0.6772727272727272,Positive,0.9474,0.259,0.712,0.029
comment_1462768910772381513,"So much hate in the comments for something she did not intend to promote. People, please use common sense. If you cannot use common sense, it will be a tough road ahead on your programming journey.",@vajrasar,Unknown time,15,Ez8F0nW6S-w,"so much hate in the comments for something she did not intend to promote. people, please use common sense. if you cannot use common sense, it will be a tough road ahead on your programming journey.","much hate comments something not intend promote . people , please use common sense . not use common sense , tough road ahead programming journey .",Negative,0.5514111111111111,Negative,-0.44722222222222224,0.6833333333333333,Negative,-0.6556,0.055,0.763,0.183
comment_1159287583219208941,Thank you! I actually learned Git and Git hub in an hour with your tutorial.,@shikhayadav4291,Unknown time,11,Ez8F0nW6S-w,thank you! i actually learned git and git hub in an hour with your tutorial.,thank ! actually learned git git hub hour tutorial .,Positive,0.29392999999999997,Neutral,0.0,0.1,Positive,0.4199,0.166,0.834,0.0
comment_-1734562073778583506,"Wow, what an explanation that too in just 1 hr 15 mins, best video on Git and GitHub!!Thank you!!",@MEGHASHAH-s2d,Unknown time,0,Ez8F0nW6S-w,"wow, what an explanation that too in just 1 hr 15 mins, best video on git and github!!thank you!!","wow , explanation 1 hr 15 mins , best video git github ! ! thank ! !",Positive,0.7149000000000001,Positive,0.55,0.65,Positive,0.8798,0.35,0.65,0.0
comment_6722501492252376822,1:13:04 main culprit 5 month ke bad bomb phuta,@mukulkumar5133,Unknown time,145,Ez8F0nW6S-w,1:13:04 main culprit 5 month ke bad bomb phuta,1:13:04 main culprit 5 month ke bad bomb phuta,Negative,0.5191833333333333,Negative,-0.2666666666666666,0.5,Negative,-0.7717,0.0,0.511,0.489
comment_4374744079122381305,Ma'am please upload Java script series as soon as possible,@shivammishra6482,Unknown time,12,Ez8F0nW6S-w,maam please upload java script series as soon as possible,maam please upload java script series soon possible,Positive,0.22273999999999997,Neutral,0.0,1.0,Positive,0.3182,0.204,0.796,0.0
